census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,06,Hawke's Bay Region,One-person household,"$150,001-$200,000",21,0,3,0,3,6,6,0,0,21,0
2023,06,Hawke's Bay Region,Total stated - household composition,"$150,001-$200,000",1290,108,108,156,240,288,228,108,30,1275,18
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$150,001-$200,000",105,33,12,18,18,15,6,0,0,102,3
2023,06,Hawke's Bay Region,Total - household composition,"$200,001 or more",921,84,69,87,153,168,171,96,78,909,12
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$200,001 or more",525,33,39,45,84,105,105,57,51,519,6
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$200,001 or more",141,12,15,21,30,18,21,18,6,141,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$200,001 or more",33,6,3,3,6,9,3,3,0,30,0
2023,06,Hawke's Bay Region,Other multi-person household,"$200,001 or more",120,9,9,9,15,15,27,21,12,117,3
2023,06,Hawke's Bay Region,One-person household,"$200,001 or more",15,0,0,3,0,3,3,0,0,15,0
2023,06,Hawke's Bay Region,Total stated - household composition,"$200,001 or more",834,63,63,78,135,150,162,96,75,825,9
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$200,001 or more",90,24,6,12,15,15,9,0,3,87,3
2023,06,Hawke's Bay Region,Total - household composition,Total stated - total household income,16188,3669,1905,2667,3174,2493,1335,423,243,15909,279
2023,06,Hawke's Bay Region,One-family household (with or without other people),Total stated - total household income,9366,1491,945,1446,2097,1839,987,297,147,9255,111
2023,06,Hawke's Bay Region,Two-family household (with or without other people),Total stated - total household income,618,138,72,78,108,105,63,36,15,615,6
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),Total stated - total household income,57,15,6,3,12,9,6,3,3,57,0
2023,06,Hawke's Bay Region,Other multi-person household,Total stated - total household income,1314,255,156,207,243,207,135,45,36,1284,30
2023,06,Hawke's Bay Region,One-person household,Total stated - total household income,4374,1590,681,876,648,276,108,33,39,4254,123
2023,06,Hawke's Bay Region,Total stated - household composition,Total stated - total household income,15729,3492,1860,2610,3108,2433,1302,417,240,15462,267
2023,06,Hawke's Bay Region,Household composition unidentifiable,Total stated - total household income,456,174,42,60,66,57,33,9,3,444,15
2023,06,Hawke's Bay Region,Total - household composition,Not stated,1689,429,192,318,288,231,111,42,15,1626,63
2023,06,Hawke's Bay Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Household composition unidentifiable,Not stated,1689,429,192,318,288,231,111,42,15,1626,63
2023,07,Taranaki Region,Total - household composition,Total - total household income,12246,2277,2148,2751,2559,1425,609,174,111,12051,198
2023,07,Taranaki Region,One-family household (with or without other people),Total - total household income,6732,882,924,1491,1734,1029,420,120,69,6669,66
2023,07,Taranaki Region,Two-family household (with or without other people),Total - total household income,312,39,39,57,66,51,42,15,3,309,3
2023,07,Taranaki Region,Three or more family household (with or without other people),Total - total household income,15,3,3,3,3,3,3,0,0,15,0
2023,07,Taranaki Region,Other multi-person household,Total - total household income,882,144,135,198,192,111,63,15,15,873,9
2023,07,Taranaki Region,One-person household,Total - total household income,3336,1002,843,801,384,135,48,9,21,3240,96
2023,07,Taranaki Region,Total stated - household composition,Total - total household income,11277,2073,1941,2550,2376,1326,573,159,108,11106,174
2023,07,Taranaki Region,Household composition unidentifiable,Total - total household income,969,207,207,198,180,96,36,12,6,945,27
2023,07,Taranaki Region,Total - household composition,"$20,000 or less",1122,360,207,243,177,69,27,6,12,1101,24
2023,07,Taranaki Region,One-family household (with or without other people),"$20,000 or less",399,81,39,81,120,54,15,3,3,396,3
2023,07,Taranaki Region,Two-family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Other multi-person household,"$20,000 or less",36,6,9,9,3,0,3,0,3,33,3
2023,07,Taranaki Region,One-person household,"$20,000 or less",690,273,162,153,54,15,6,3,9,672,18
2023,07,Taranaki Region,Total stated - household composition,"$20,000 or less",1122,360,207,243,177,69,27,6,12,1101,24
2023,07,Taranaki Region,Household composition unidentifiable,"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Total - household composition,"$20,001-$30,000",1341,468,285,300,156,63,12,9,6,1293,51
2023,07,Taranaki Region,One-family household (with or without other people),"$20,001-$30,000",321,57,39,75,84,42,12,6,3,318,3
2023,07,Taranaki Region,Two-family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Other multi-person household,"$20,001-$30,000",33,9,3,6,9,3,0,0,0,33,0
2023,07,Taranaki Region,One-person household,"$20,001-$30,000",987,399,240,216,66,15,0,0,3,939,48
2023,07,Taranaki Region,Total stated - household composition,"$20,001-$30,000",1341,468,285,297,156,63,12,9,6,1290,51
2023,07,Taranaki Region,Household composition unidentifiable,"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Total - household composition,"$30,001-$50,000",2013,429,405,531,381,153,54,6,12,1974,39
2023,07,Taranaki Region,One-family household (with or without other people),"$30,001-$50,000",1044,195,165,258,249,111,33,6,3,1023,21
2023,07,Taranaki Region,Two-family household (with or without other people),"$30,001-$50,000",12,0,3,0,0,0,3,0,3,9,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$30,001-$50,000",3,3,0,0,0,0,0,0,0,3,0
2023,07,Taranaki Region,Other multi-person household,"$30,001-$50,000",153,42,30,39,24,9,6,3,3,153,0
2023,07,Taranaki Region,One-person household,"$30,001-$50,000",798,186,210,228,105,33,9,3,3,780,21
2023,07,Taranaki Region,Total stated - household composition,"$30,001-$50,000",2010,426,405,531,378,153,54,6,12,1968,39
2023,07,Taranaki Region,Household composition unidentifiable,"$30,001-$50,000",6,3,0,3,3,0,0,0,0,6,0
2023,07,Taranaki Region,Total - household composition,"$50,001-$70,000",1641,285,336,414,348,177,45,9,12,1626,18
2023,07,Taranaki Region,One-family household (with or without other people),"$50,001-$70,000",1011,153,162,258,246,135,33,9,6,1002,12
2023,07,Taranaki Region,Two-family household (with or without other people),"$50,001-$70,000",15,6,0,3,6,3,0,0,0,15,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Other multi-person household,"$50,001-$70,000",135,30,33,30,18,15,3,0,0,132,3
2023,07,Taranaki Region,One-person household,"$50,001-$70,000",465,90,141,123,72,21,6,3,3,459,6
2023,07,Taranaki Region,Total stated - household composition,"$50,001-$70,000",1626,279,336,414,348,174,45,9,12,1608,18
2023,07,Taranaki Region,Household composition unidentifiable,"$50,001-$70,000",15,6,3,3,3,0,0,0,0,15,0
2023,07,Taranaki Region,Total - household composition,"$70,001-$100,000",1995,267,327,498,504,288,69,9,15,1980,18
2023,07,Taranaki Region,One-family household (with or without other people),"$70,001-$100,000",1455,186,216,357,390,225,60,6,9,1446,9
2023,07,Taranaki Region,Two-family household (with or without other people),"$70,001-$100,000",48,9,9,9,9,9,3,0,0,48,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$70,001-$100,000",0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Other multi-person household,"$70,001-$100,000",195,24,30,54,57,21,6,0,3,192,3
2023,07,Taranaki Region,One-person household,"$70,001-$100,000",264,36,69,66,51,30,0,3,3,261,3
2023,07,Taranaki Region,Total stated - household composition,"$70,001-$100,000",1965,255,327,489,504,282,69,9,15,1950,18
2023,07,Taranaki Region,Household composition unidentifiable,"$70,001-$100,000",30,9,3,12,3,6,0,0,0,30,0
2023,07,Taranaki Region,Total - household composition,"$100,001-$150,000",1986,207,249,402,561,339,159,39,12,1968,15
2023,07,Taranaki Region,One-family household (with or without other people),"$100,001-$150,000",1575,156,198,321,450,273,126,33,9,1560,15
2023,07,Taranaki Region,Two-family household (with or without other people),"$100,001-$150,000",84,9,12,12,21,15,9,3,0,84,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$100,001-$150,000",3,0,0,3,0,0,0,0,0,3,0
2023,07,Taranaki Region,Other multi-person household,"$100,001-$150,000",189,21,21,39,57,30,15,3,0,186,0
2023,07,Taranaki Region,One-person household,"$100,001-$150,000",87,12,15,9,24,15,6,0,3,87,0
2023,07,Taranaki Region,Total stated - household composition,"$100,001-$150,000",1935,198,246,387,549,333,156,36,12,1920,15
2023,07,Taranaki Region,Household composition unidentifiable,"$100,001-$150,000",48,12,3,15,12,6,3,3,0,48,0
2023,07,Taranaki Region,Total - household composition,"$150,001-$200,000",828,69,105,138,192,159,114,33,12,825,6
2023,07,Taranaki Region,One-family household (with or without other people),"$150,001-$200,000",612,45,87,99,147,120,75,30,9,609,3
2023,07,Taranaki Region,Two-family household (with or without other people),"$150,001-$200,000",69,9,6,9,18,12,9,0,0,69,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$150,001-$200,000",6,0,0,0,0,3,3,0,0,6,0
2023,07,Taranaki Region,Other multi-person household,"$150,001-$200,000",81,6,3,15,12,18,18,3,3,81,0
2023,07,Taranaki Region,One-person household,"$150,001-$200,000",27,0,3,3,6,3,9,0,0,27,3
2023,07,Taranaki Region,Total stated - household composition,"$150,001-$200,000",795,63,96,129,189,156,111,33,12,792,6
2023,07,Taranaki Region,Household composition unidentifiable,"$150,001-$200,000",33,6,9,9,3,3,3,0,0,33,0
2023,07,Taranaki Region,Total - household composition,"$200,001 or more",501,27,42,69,81,102,102,48,30,495,9
2023,07,Taranaki Region,One-family household (with or without other people),"$200,001 or more",312,12,18,39,48,72,63,33,24,309,3
2023,07,Taranaki Region,Two-family household (with or without other people),"$200,001 or more",84,3,9,15,12,9,18,9,0,84,0
2023,07,Taranaki Region,Three or more family household (with or without other people),"$200,001 or more",3,0,0,0,3,0,0,0,0,3,0
2023,07,Taranaki Region,Other multi-person household,"$200,001 or more",63,3,6,3,12,15,15,6,3,63,0
2023,07,Taranaki Region,One-person household,"$200,001 or more",24,3,6,6,3,3,6,0,0,21,0
2023,07,Taranaki Region,Total stated - household composition,"$200,001 or more",486,27,36,63,75,99,102,48,30,480,6
2023,07,Taranaki Region,Household composition unidentifiable,"$200,001 or more",15,3,3,3,3,3,0,0,0,15,0
2023,07,Taranaki Region,Total - household composition,Total stated - total household income,11430,2112,1959,2592,2403,1347,576,159,105,11256,174
2023,07,Taranaki Region,One-family household (with or without other people),Total stated - total household income,6732,882,924,1491,1734,1029,420,120,69,6669,66
2023,07,Taranaki Region,Two-family household (with or without other people),Total stated - total household income,312,39,39,57,66,51,42,15,3,309,3
2023,07,Taranaki Region,Three or more family household (with or without other people),Total stated - total household income,15,3,3,3,3,3,3,0,0,15,0
2023,07,Taranaki Region,Other multi-person household,Total stated - total household income,882,144,135,198,192,111,63,15,15,873,9
2023,07,Taranaki Region,One-person household,Total stated - total household income,3336,1002,843,801,384,135,48,9,21,3240,96
2023,07,Taranaki Region,Total stated - household composition,Total stated - total household income,11277,2073,1941,2550,2376,1326,573,159,108,11106,174
2023,07,Taranaki Region,Household composition unidentifiable,Total stated - total household income,153,39,18,42,27,18,3,3,0,153,0
2023,07,Taranaki Region,Total - household composition,Not stated,816,168,189,159,156,81,33,12,3,792,24
2023,07,Taranaki Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,07,Taranaki Region,Household composition unidentifiable,Not stated,816,168,189,159,156,81,33,12,3,792,24
2023,08,Manawatū-Whanganui Region,Total - household composition,Total - total household income,27297,5820,4395,5898,5451,3537,1176,312,249,26835,462
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),Total - total household income,14478,2013,1998,3186,3633,2463,768,189,81,14325,150
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),Total - total household income,648,78,66,102,150,144,69,21,12,642,6
2023,08,Manawatū-Whanganui Region,Three or more family household (with or without other people),Total - total household income,48,9,6,9,9,9,6,3,0,51,0
2023,08,Manawatū-Whanganui Region,Other multi-person household,Total - total household income,2310,363,294,450,444,396,186,66,69,2277,33
2023,08,Manawatū-Whanganui Region,One-person household,Total - total household income,7833,2865,1743,1749,840,291,66,18,48,7626,204
2023,08,Manawatū-Whanganui Region,Total stated - household composition,Total - total household income,25320,5328,4113,5493,5076,3306,1095,297,213,24924,396
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,Total - total household income,1977,489,282,405,372,234,81,15,36,1914,63
2023,08,Manawatū-Whanganui Region,Total - household composition,"$20,000 or less",2907,1050,471,573,408,240,63,15,24,2847,60
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),"$20,000 or less",975,177,108,213,243,174,39,3,0,960,12
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),"$20,000 or less",12,0,3,3,3,3,3,0,0,12,0
2023,08,Manawatū-Whanganui Region,Three or more family household (with or without other people),"$20,000 or less",3,0,0,0,0,0,0,0,0,3,0
